Link;Mês e Ano;Data;Valor Previsto (R$);Valor Realizado (R$);Descrição;Arquivo
https://drive.google.com/open?id=1DI56BYrh1asL4UA4xiuElXAsyksvHBMb&usp=drive_copy;03/2020;20/03/2020;525.000,00;525.000,00;128 Duodécimo 20/03/2020 R$. 525.000,00;Repasses\2020\Repasse 03-2020 - 128 Duodécimo 20-03-2020 R$. 525.000,00.pdf
https://drive.google.com/open?id=1_zxGJSsgE34ASF0gmNLyHaANtxqBJoRg&usp=drive_copy;04/2020;20/04/2020;525.000,00;525.000,00;128 Duodécimo 20/04/2020 R$. 525.000,00;Repasses\2020\Repasse 04-2020 - 128 Duodécimo 20-04-2020 R$. 525.000,00.pdf
https://drive.google.com/open?id=1BGBhAt8nEThzp9sv9Z7ud7VROnG5XqBK&usp=drive_copy;05/2020;20/05/2020;525.000,00;525.000,00;128 Duodécimo 20/05/2020 R$. 525.000,00;Repasses\2020\Repasse 05-2020 - 128 Duodécimo 20-05-2020 R$. 525.000,00.pdf
https://drive.google.com/open?id=1_ZHRhajLir2wyGInhebj-EAzE3o_a3W2&usp=drive_copy;06/2020;19/06/2020;525.000,00;525.000,00;128 Duodécimo 19/06/2020 R$. 525.000,00;Repasses\2020\Repasse 06-2020 - 128 Duodécimo 19-06-2020 R$. 525.000,00.pdf
https://drive.google.com/open?id=1K_lppPSsiDG6qL_2i9dghIKsMqH6N7If&usp=drive_copy;07/2020;20/07/2020;525.000,00;525.000,00;128 Duodécimo 20/07/2020 R$. 525.000,00;Repasses\2020\Repasse 07-2020 - 128 Duodécimo 20-07-2020 R$. 525.000,00.pdf
https://drive.google.com/open?id=1PxmqC4WUTXUyhRTVC2PQW0Q1QQFlNymM&usp=drive_copy;08/2020;20/08/2020;525.000,00;525.000,00;128 Duodécimo 20/08/2020 R$. 525.000,00;Repasses\2020\Repasse 08-2020 - 128 Duodécimo 20-08-2020 R$. 525.000,00.pdf
https://drive.google.com/open?id=1HQi0Vdp6NzOhSlj1elZ0cH7kajjAyte2&usp=drive_copy;09/2020;18/09/2020;525.000,00;525.000,00;128 Duodécimo 18/09/2020 R$. 525.000,00;Repasses\2020\Repasse 09-2020 - 128 Duodécimo 18-09-2020 R$. 525.000,00.pdf
https://drive.google.com/open?id=1xRbKxX27borgBOF6zI2UOclx556QUAQo&usp=drive_copy;10/2020;20/10/2020;525.000,00;525.000,00;128 Duodécimo 20/10/2020 R$. 525.000,00;Repasses\2020\Repasse 10-2020 - 128 Duodécimo 20-10-2020 R$. 525.000,00.pdf
https://drive.google.com/open?id=1Jci0pn0XxezskEa1JOj4ujSktpY4tnL5&usp=drive_copy;11/2020;20/11/2020;525.000,00;525.000,00;128 Duodécimo 20/11/2020 R$. 525.000,00;Repasses\2020\Repasse 11-2020 - 128 Duodécimo 20-11-2020 R$. 525.000,00.pdf
https://drive.google.com/open?id=1vRrnq22NSMm8fJP9f7znS2sk7e0IdXCF&usp=drive_copy;12/2020;21/12/2020;525.000,00;525.000,00;128 Duodécimo 21/12/2020 R$. 525.000,00;Repasses\2020\Repasse 12-2020 - 128 Duodécimo 21-12-2020 R$. 525.000,00.pdf
https://drive.google.com/open?id=1Sq884T2LOZXaTOWUvaUipigWnOFo03dq&usp=drive_copy;01/2021;;525.000,00;525.000,00;;Repasses\2021\Repasse 01-2021.pdf
https://drive.google.com/open?id=1Uk4vSh4oDxmG2mpI6pSu7WxNeU8zuPfS&usp=drive_copy;02/2021;;525.000,00;525.000,00;;Repasses\2021\Repasse 02-2021.pdf
https://drive.google.com/open?id=1kFFNyUkt5RsdjrP72ryt_yHDZuc1gpe4&usp=drive_copy;03/2021;;525.000,00;525.000,00;;Repasses\2021\Repasse 03-2021.pdf
